"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\README.md", "Markdown", 2, 0, 0, 0, 0, 1, 3
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\README.md", "Markdown", 38, 0, 0, 0, 0, 33, 71
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\package-lock.json", "JSON", 0, 0, 29090, 0, 0, 1, 29091
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\package.json", "JSON", 0, 0, 71, 0, 0, 1, 72
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\AddComment.js", "JavaScript", 0, 40, 0, 0, 0, 13, 53
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\CommentBtn.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\CommentContext.js", "JavaScript", 0, 22, 0, 0, 0, 9, 31
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\CommentFooter.js", "JavaScript", 0, 35, 0, 0, 0, 3, 38
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\CommentHeader.js", "JavaScript", 0, 19, 0, 0, 0, 2, 21
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\CommentSection.js", "JavaScript", 0, 107, 0, 0, 5, 16, 128
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\CommentVotes.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\DeleteModal.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\Reply.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\Comments\ReplyContainer.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\index.html", "HTML", 0, 0, 0, 26, 23, 2, 51
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 1, 26
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\AddASong.js", "JavaScript", 0, 427, 0, 0, 9, 127, 563
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\App.js", "JavaScript", 0, 55, 0, 0, 0, 12, 67
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\ArtistCard.js", "JavaScript", 0, 66, 0, 0, 4, 20, 90
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\ArtistPage.js", "JavaScript", 0, 140, 0, 0, 0, 47, 187
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Artists.js", "JavaScript", 0, 52, 0, 0, 0, 14, 66
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Comments\Comment.js", "JavaScript", 0, 97, 0, 0, 0, 22, 119
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Comments\CommentSection.js", "JavaScript", 0, 237, 0, 0, 10, 74, 321
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\CurrentUserContext.js", "JavaScript", 0, 67, 0, 0, 7, 21, 95
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Diff.js", "JavaScript", 0, 35, 0, 0, 1, 8, 44
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\EditSongPage.js", "JavaScript", 0, 444, 0, 0, 28, 114, 586
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\EditsPage.js", "JavaScript", 0, 41, 0, 0, 0, 15, 56
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\ErrorPage.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\ForgivenessContext.js", "JavaScript", 0, 13, 0, 0, 1, 12, 26
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\GlobalStyles.js", "JavaScript", 0, 147, 0, 0, 1, 28, 176
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\Header.js", "JavaScript", 0, 151, 0, 0, 9, 55, 215
"c:\Users\antka\OneDrive\Documents\Final Project\PeaceofMusic\client\src\components\LandingPage.js", "JavaScript", 0, 74, 0, 0, 0, 16, 90
